map_name,display_name,hash,first_seen,origin,path,radar_paths,radar_info,thumb_paths
"de_cache","Cache","996d4f04","2026-04-29","panorama/images/map_icons/map_icon_de_cache.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_cache.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_cache_radar_psd.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_cache_radar_tga.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/de_cache.txt"",""pos_x"":-2000,""pos_y"":3250,""scale"":5.5}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_cache_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_cache_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_cache_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_cache_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_cache_png.png"
"de_canals","Canals","621cb342-24c01","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_canals.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_canals_png.png"
"de_cbble","Cobblestone","624c602a-1590e","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_cbble.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_cbble_png.png"
"de_dogtown","Dogtown","681ce1fd-12b06","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_dogtown.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_dogtown_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_dogtown_png.png"
"de_dust","Dust","9ea1ea95","2025-12-28","panorama/images/map_icons/map_icon_de_dust.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_dust.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_dust_radar.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/de_dust.txt"",""pos_x"":-2850,""pos_y"":4073,""scale"":6,""rotate"":1,""zoom"":1.3}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_dust_png.png"
"de_dust2","Dust II","a9315262","2025-12-28","panorama/images/map_icons/map_icon_de_dust2.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_dust2.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_dust2_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/de_dust2.txt"",""pos_x"":-2476,""pos_y"":3239,""scale"":4.4,""rotate"":1,""zoom"":1.1}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_dust2_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_dust2_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_dust2_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_dust2_png.png"
"de_edin","Edin","67358320-2635a","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_edin.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_edin_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_edin_png.png"
"de_golden","Golden","68ded7a3-17811","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_golden.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_golden_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_golden_png.png"
"de_grail","Grail","681ce204-13504","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_grail.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_grail_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_grail_png.png"
"de_inferno","Inferno","71321f75","2025-12-28","panorama/images/map_icons/map_icon_de_inferno.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_inferno.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_inferno_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/de_inferno.txt"",""pos_x"":-2087,""pos_y"":3870,""scale"":4.9}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_inferno_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_inferno_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_inferno_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_inferno_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_inferno_png.png"
"de_jura","Jura","681ce210-126de","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_jura.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_jura_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_jura_png.png"
"de_lake","Lake","624c60c2-828e","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_lake.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_lake_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_lake_png.png"
"de_memento","Memento","667bc0b6-13a3d","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_memento.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_memento_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_memento_png.png"
"de_mills","Mills","667bc0c2-1218b","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_mills.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_mills_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_mills_png.png"
"de_mirage","Mirage","0440429f","2025-12-28","panorama/images/map_icons/map_icon_de_mirage.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_mirage.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_mirage_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/de_mirage.txt"",""pos_x"":-3230,""pos_y"":1713,""scale"":5,""rotate"":0,""zoom"":0}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_mirage_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_mirage_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_mirage_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_mirage_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_mirage_png.png"
"de_nuke","Nuke","1fc2d02c","2025-12-28","panorama/images/map_icons/map_icon_de_nuke.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_nuke.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_nuke_lower_radar_psd.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_nuke_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/de_nuke.txt"",""pos_x"":-3453,""pos_y"":2887,""scale"":7}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_nuke_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_nuke_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_nuke_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_nuke_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_nuke_png.png"
"de_overpass","Overpass","19e7737b","2025-12-28","panorama/images/map_icons/map_icon_de_overpass.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_overpass.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_overpass_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/de_overpass.txt"",""pos_x"":-4831,""pos_y"":1781,""scale"":5.2,""rotate"":0,""zoom"":0}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_overpass_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_overpass_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_overpass_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_overpass_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_overpass_5_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_overpass_png.png"
"de_palacio","Palacio","68ded7ae-17df8","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_palacio.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_palacio_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_palacio_png.png"
"de_palais","Palais","673583d3-25def","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_palais.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_palais_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_palais_png.png"
"de_poseidon","Poseidon","2270aa4b","2026-01-28","panorama/images/map_icons/map_icon_de_poseidon.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_poseidon.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_poseidon_png.png"
"de_rooftop","Rooftop","68ded7ba-1948a","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_rooftop.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_rooftop_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_rooftop_png.png"
"de_sanctum","Sanctum","0a890362","2026-01-28","panorama/images/map_icons/map_icon_de_sanctum.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_sanctum.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_sanctum_png.png"
"de_stronghold","Stronghold","8e3c5be9","2026-01-28","panorama/images/map_icons/map_icon_de_stronghold.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_stronghold.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_stronghold_png.png"
"de_sugarcane","Sugarcane","621cb3b7-11147","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_sugarcane.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_sugarcane_radar_psd.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_sugarcane_png.png"
"de_thera","Thera","667bc0ca-129fa","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_thera.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_thera_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_thera_png.png"
"de_train","Train","c93ecbae","2025-12-28","panorama/images/map_icons/map_icon_de_train.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_train.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_train_lower_radar_psd.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_train_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/de_train.txt"",""pos_x"":-2308,""pos_y"":2078,""scale"":4.082077}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_train_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_train_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_train_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_train_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_train_png.png"
"de_transit","Transit","68ded7c2-17cab","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_transit.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_transit_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_transit_png.png"
"de_vertigo","Vertigo","4eec1850","2025-12-28","panorama/images/map_icons/map_icon_de_vertigo.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_vertigo.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_vertigo_lower_radar_psd.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_vertigo_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/de_vertigo.txt"",""pos_x"":-3168,""pos_y"":1762,""scale"":4}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_vertigo_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_vertigo_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_vertigo_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_vertigo_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_vertigo_png.png"
"de_warden","Warden","4bbcbe9a","2026-01-28","panorama/images/map_icons/map_icon_de_warden.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_warden.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_warden_png.png"
"de_whistle","Whistle","673583e5-25397","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_whistle.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_whistle_radar.png","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_whistle_png.png"
"lobby_mapveto","Premier","11658f7e","2026-01-28","panorama/images/map_icons/map_icon_lobby_mapveto.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/lobby_mapveto.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/lobby_mapveto_png.png"
